20 20
4 5 5
5 5 5
4 6 5
5 6 5
4 7 10
5 7 10
14 5 5
15 5 5
14 6 5
15 6 5
14 7 10
15 7 10
4 8 15
5 8 15
6 8 15
7 8 15
8 8 15
9 8 15
10 8 15
11 8 15
12 8 15
13 8 15
14 8 15
15 8 15
4 9 15
5 9 15
6 9 15
7 9 15
8 9 15
9 9 15
10 9 15
11 9 15
12 9 15
13 9 15
14 9 15
15 9 15
4 10 15
5 10 15
6 10 15
7 10 15
8 10 15
9 10 15
10 10 15
11 10 15
12 10 15
13 10 15
14 10 15
15 10 15
4 11 15
5 11 15
6 11 15
7 11 15
8 11 15
9 11 15
10 11 15
11 11 15
12 11 15
13 11 15
14 11 15
15 11 15
4 12 10
5 12 10
4 13 5
5 13 5
4 14 5
5 14 5
14 12 10
15 12 10
14 13 5
15 13 5
14 14 5
15 14 5
